imgid,Yellow,Green,Cyan,Blue,Magenta
masked,9.3188,80.44505,9.36119,0.87496,0.0
masked,5.0351,89.66942,4.55395,0.74154,0.0
masked,19.81338,72.79905,6.22533,1.16224,0.0
masked,4.93706,87.99893,5.78426,1.27976,0.0
masked,5.39061,88.85289,4.65324,1.10326,0.0
masked,4.29778,88.54535,5.52722,1.62965,0.0
masked,9.99161,82.76441,5.87541,1.36857,0.0
masked,2.94566,91.30664,4.39944,1.34826,0.0
masked,11.22144,80.54611,6.96749,1.26496,0.0
masked,7.33195,85.80602,5.44351,1.41852,0.0
masked,8.02671,84.20836,6.64725,1.11768,0.0
masked,5.39651,87.65835,5.6867,1.25844,0.0
masked,5.95594,86.96842,5.31651,1.75914,0.0
masked,5.16974,87.99194,5.77388,1.06444,0.0
masked,10.21238,82.87887,5.62074,1.28802,0.0
masked,7.22915,83.38577,7.52438,1.8607,0.0
masked,11.36914,81.21759,6.08217,1.33111,0.0
masked,6.31748,86.59086,5.63704,1.45462,0.0
masked,7.2665,84.18166,7.24079,1.31105,0.0
masked,9.95751,83.74222,5.09383,1.20643,0.0
masked,9.4427,84.58072,5.35268,0.6239,0.0
masked,8.90839,84.05591,6.11311,0.92259,0.0
masked,13.00823,79.6827,6.36654,0.94254,0.0
masked,7.10971,85.85944,5.6083,1.42255,0.0
masked,13.368,79.41243,6.04898,1.17059,0.0
masked,12.00984,79.64605,7.0854,1.25871,0.0
masked,7.0578,86.38713,5.44852,1.10656,0.0
masked,14.65681,77.66975,7.00485,0.66859,0.0
masked,7.91281,84.8679,5.79921,1.42008,0.0
masked,19.87413,72.67237,6.49959,0.95391,0.0
masked,2.78635,90.5144,5.48382,1.21543,0.0
masked,6.17121,88.48498,4.36709,0.97672,0.0
masked,6.32807,88.60995,4.16626,0.89571,0.0
masked,2.65727,90.91046,5.14883,1.28344,0.0
masked,16.11646,77.99506,5.17692,0.71155,0.0
masked,6.95878,85.11198,6.55631,1.37293,0.0
masked,5.58939,87.70538,5.41025,1.29498,0.0
masked,4.75683,87.44382,6.42791,1.37144,0.0
masked,9.06088,83.63545,6.02738,1.27629,0.0
masked,13.05622,78.89827,6.76604,1.27947,0.0
masked,4.28102,90.17263,4.72991,0.81644,0.0
masked,16.04609,78.203,5.03884,0.71207,0.0
masked,18.50294,74.42352,5.92281,1.15073,0.0
masked,2.10752,92.18963,4.39627,1.30658,0.0
masked,5.28413,87.05421,6.44276,1.2189,0.0
masked,4.22317,88.62618,6.07044,1.08021,0.0
masked,2.04541,92.17739,4.5358,1.2414,0.0
masked,5.70029,88.19924,5.00909,1.09137,0.0
masked,5.54853,86.65638,6.48357,1.31153,0.0
masked,3.92099,89.5679,5.43457,1.07654,0.0
masked,2.12162,91.70181,5.05211,1.12446,0.0
masked,31.13911,62.76466,5.26365,0.83258,0.0
masked,7.96524,86.67645,4.40779,0.95052,0.0
masked,13.70095,79.38507,6.19691,0.71706,0.0
masked,13.40871,79.63863,5.9515,1.00116,0.0
masked,1.55669,92.76681,4.34184,1.33465,0.0
masked,9.34787,83.35331,6.10038,1.19844,0.0
masked,12.3772,77.20057,8.61037,1.81185,0.0
masked,5.6048,88.81163,4.77682,0.80675,0.0
masked,3.07522,91.17038,4.77933,0.97507,0.0
masked,8.2413,85.36974,5.28162,1.10734,0.0
masked,6.00933,88.67672,4.08852,1.22542,0.0
masked,6.88378,84.70194,7.09344,1.32085,0.0
masked,12.78506,80.26715,6.40974,0.53805,0.0
masked,6.13562,85.68237,6.5754,1.60661,0.0
masked,7.55611,84.41412,7.02887,1.0009,0.0
masked,12.56532,79.40527,6.97894,1.05048,0.0
masked,9.45677,80.79433,8.29138,1.45752,0.0
masked,12.54943,78.93632,7.56194,0.9523,0.0
masked,4.95174,87.82305,6.0078,1.2174,0.0
masked,35.65337,54.33636,8.75411,1.25615,0.0
masked,5.43687,88.09273,5.16503,1.30536,0.0
