imgid,Yellow,Green,Cyan,Blue,Magenta
masked,0.92207,94.14405,3.70445,1.22943,0.0
masked,0.2216,98.03184,0.91847,0.82808,0.0
masked,0.26914,98.14225,0.47264,1.11596,0.0
masked,33.18358,61.60147,4.63413,0.58082,0.0
masked,42.2673,50.94345,6.1031,0.68615,0.0
masked,46.03869,45.75562,7.47602,0.72967,0.0
masked,38.35141,56.16661,5.05722,0.42477,0.0
masked,13.07956,79.81238,6.44657,0.66149,0.0
masked,0.48106,95.5472,3.25616,0.71557,0.0
masked,1.85872,92.10227,4.56232,1.47669,0.0
masked,26.23828,67.45458,5.84423,0.46291,0.0
masked,36.20768,58.5627,4.41897,0.81065,0.0
masked,31.45885,60.57782,7.20916,0.75418,0.0
masked,26.1833,66.24922,6.9774,0.59008,0.0
masked,26.51932,67.04209,5.89275,0.54584,0.0
masked,1.8088,92.71187,4.32788,1.15145,0.0
masked,1.13706,95.28133,2.82944,0.75217,0.0
masked,0.32244,97.47715,0.96024,1.24017,0.0
masked,15.42077,79.55956,4.4942,0.52547,0.0
masked,1.51435,94.81747,2.75113,0.91704,0.0
masked,18.33711,74.11341,6.99246,0.55702,0.0
masked,6.09014,86.11592,7.07697,0.71696,0.0
masked,0.41014,97.0002,1.49481,1.09484,0.0
masked,34.24915,57.84934,7.35898,0.54253,0.0
masked,42.63748,50.97028,5.96029,0.43195,0.0
masked,4.34597,88.58756,6.08264,0.98383,0.0
masked,10.76096,83.79982,4.99574,0.44348,0.0
masked,0.66763,97.61561,1.10049,0.61627,0.0
masked,0.50038,92.52632,5.87246,1.10084,0.0
masked,0.38589,97.89485,1.16111,0.55816,0.0
masked,22.00886,72.89467,4.32593,0.77054,0.0
masked,14.76,80.17527,4.55376,0.51097,0.0
masked,15.10092,79.74286,4.68113,0.47509,0.0
masked,32.47797,61.83899,5.23431,0.44873,0.0
masked,11.67296,80.84609,6.88529,0.59566,0.0
masked,1.14624,94.90849,3.27602,0.66925,0.0
masked,37.28306,56.67665,5.263,0.77729,0.0
masked,53.69943,40.61896,5.25774,0.42386,0.0
masked,12.81998,82.26906,4.50751,0.40345,0.0
masked,2.40251,90.47773,5.27629,1.84347,0.0
